"Family","Sanger_ID","CS","std","ravg"
"Moraxellaceae",903,"glutamine",0.00405924319007906,0.188
"Moraxellaceae",903,"glycine",0.00662254676156118,0.013
"Moraxellaceae",910,"glucose",0.0188246037354837,0.094
"Moraxellaceae",910,"fructose",0.00977747091803295,0.091
"Moraxellaceae",910,"cellobiose",0.00704778300244068,0.105
"Moraxellaceae",910,"ribose",0.0134288413054178,0.066
"Moraxellaceae",910,"glycerol",0.0120427266265141,0.098
"Moraxellaceae",910,"succinate",0.0205521527888979,0.159
"Moraxellaceae",910,"fumarate",0.0038371790323875,0.245
"Moraxellaceae",910,"benzoate",0.0160652592721604,0.081
"Moraxellaceae",910,"glutamine",0.00570179170081479,0.197
"Moraxellaceae",910,"glycine",0.00589123150764118,0.019
"Moraxellaceae",912,"glucose",0.0102375061549091,0.099
"Moraxellaceae",912,"fructose",0.0206809697911429,0.105
"Moraxellaceae",912,"cellobiose",0.00464108391784812,0.105
"Moraxellaceae",912,"ribose",0.0057824002352266,0.079
"Moraxellaceae",912,"glycerol",0.00509749765549755,0.103
"Moraxellaceae",912,"succinate",0.00477456839561377,0.17
"Moraxellaceae",912,"fumarate",0.00357217460122412,0.241
"Moraxellaceae",912,"benzoate",0.00285782201490938,0.091
"Moraxellaceae",912,"glutamine",0.00430186082723204,0.199
"Moraxellaceae",912,"glycine",0.00389798840254771,0.011
"Moraxellaceae",921,"glucose",0.0163012871478749,0.071
"Moraxellaceae",921,"fructose",0.0190849038570424,0.048
"Moraxellaceae",921,"cellobiose",0.0144154808034663,0.061
"Moraxellaceae",921,"ribose",0.00360961506652687,0.025
"Moraxellaceae",921,"glycerol",0.0113680826164849,0.043
"Moraxellaceae",921,"succinate",0.00208886470374398,0.178
"Moraxellaceae",921,"fumarate",0.00629028396117803,0.252
"Moraxellaceae",921,"benzoate",0.00155158911463446,0.088
"Moraxellaceae",921,"glutamine",0.00400877111710096,0.214
"Moraxellaceae",921,"glycine",0.000997051169526096,0.008
"Moraxellaceae",923,"glucose",0.0109942067719054,0.098
"Moraxellaceae",923,"fructose",0.0157518266539541,0.078
"Moraxellaceae",923,"cellobiose",0.0103634008414851,0.095
"Moraxellaceae",923,"ribose",0.00912820773979473,0.114
"Moraxellaceae",923,"glycerol",0.00854602037996107,0.078
"Moraxellaceae",923,"succinate",0.00140033507309941,0.154
"Moraxellaceae",923,"fumarate",0.00823583301793903,0.252
"Moraxellaceae",923,"benzoate",3.11582493438363e-10,0.002
"Moraxellaceae",923,"glutamine",0.0100982762700435,0.204
"Moraxellaceae",923,"glycine",0.00032814407080865,0.006
"Rhizobiaceae",897,"glucose",0.0132380386476558,0.159
"Rhizobiaceae",897,"fructose",0.00042833770084479,0.16
"Rhizobiaceae",897,"cellobiose",0.00284805415931718,0.149
"Rhizobiaceae",897,"ribose",0.0239887135158576,0.103
"Rhizobiaceae",897,"glycerol",0.00575533443286456,0.151
"Rhizobiaceae",897,"succinate",0.00335599049112223,0.146
"Rhizobiaceae",897,"fumarate",0.0170186559010391,0.168
"Rhizobiaceae",897,"benzoate",0.00124109522483275,0.002
"Rhizobiaceae",897,"glutamine",0.00285191535882104,0.147
"Rhizobiaceae",897,"glycine",0.000839725403127552,0.003
"Rhizobiaceae",901,"glucose",0.00395778959378515,0.167
"Rhizobiaceae",901,"fructose",0.00150785562178286,0.156
"Rhizobiaceae",901,"cellobiose",0.0161512401876381,0.13
"Rhizobiaceae",901,"ribose",0.0367772760457191,0.07
"Rhizobiaceae",901,"glycerol",0.00905344967909505,0.132
"Rhizobiaceae",901,"succinate",0.00316188042165033,0.152
"Rhizobiaceae",901,"fumarate",0.0166940823773307,0.182
"Rhizobiaceae",901,"benzoate",0.00139587278638399,0.001
"Rhizobiaceae",901,"glutamine",0.0125001064735535,0.128
"Rhizobiaceae",901,"glycine",0.000440460311780617,0.002
"Rhizobiaceae",914,"glucose",0.0060797363547488,0.142
"Rhizobiaceae",914,"fructose",0.00422890374420657,0.14
"Rhizobiaceae",914,"cellobiose",0.00427808675094642,0.139
"Rhizobiaceae",914,"ribose",0.0211241578940775,0.081
"Rhizobiaceae",914,"glycerol",0.00279311650574146,0.122
"Rhizobiaceae",914,"succinate",0.00361559938655381,0.117
"Rhizobiaceae",914,"fumarate",0.0287166993429403,0.16
"Rhizobiaceae",914,"benzoate",0.00124109527287471,0.001
"Rhizobiaceae",914,"glutamine",0.0158427091209662,0.136
"Rhizobiaceae",914,"glycine",0.000643314008313749,0.003
"Rhizobiaceae",920,"glucose",0.0060717557516638,0.17
"Rhizobiaceae",920,"fructose",0.00634163251400361,0.166
"Rhizobiaceae",920,"cellobiose",0.00453808328958651,0.148
"Rhizobiaceae",920,"ribose",0.00218311002898168,0.062
"Rhizobiaceae",920,"glycerol",0.0105545106464356,0.139
"Rhizobiaceae",920,"succinate",0.00415351856669378,0.132
"Rhizobiaceae",920,"fumarate",0.00515437133696045,0.162
"Rhizobiaceae",920,"benzoate",0.00120885470333088,0.001
"Rhizobiaceae",920,"glutamine",0.0013506335581506,0.166
"Rhizobiaceae",920,"glycine",0.000450299970342222,0.003
