"Inoculum","Carbon_Source","Family","Replicate","sum_relab","Family_type"
2,"succinate_ribose","Enterobacteriaceae",1,0.889507375,"Enterobacteriaceae"
2,"succinate_ribose","Pseudomonadaceae",1,0.100287597,"Pseudomonadaceae"
2,"succinate_ribose","Enterobacteriaceae",2,0.862974303,"Enterobacteriaceae"
2,"succinate_ribose","Pseudomonadaceae",2,0.133129233,"Pseudomonadaceae"
2,"succinate_ribose","Enterobacteriaceae",3,0.876704705,"Enterobacteriaceae"
2,"succinate_ribose","Pseudomonadaceae",3,0.121810929,"Pseudomonadaceae"
2,"succinate_ribose","Enterobacteriaceae",4,0.866685222,"Enterobacteriaceae"
2,"succinate_ribose","Moraxellaceae",4,0.016328046,"Moraxellaceae"
2,"succinate_ribose","Pseudomonadaceae",4,0.113183042,"Pseudomonadaceae"
1,"glucose_benzoate","Oxalobacteraceae",1,0.000185546,"Other"
1,"glucose_benzoate","Comamonadaceae",2,9.28e-05,"Other"
1,"glucose_benzoate","Flavobacteriaceae",2,9.28e-05,"Other"
1,"glucose_benzoate","Sphingobacteriaceae",2,0.000278319,"Other"
1,"glucose_benzoate","Comamonadaceae",3,0.000185546,"Other"
1,"glucose_benzoate","Enterococcaceae",3,0.001391595,"Other"
1,"glucose_benzoate","Moraxellaceae",3,0.000463865,"Other"
1,"glucose_benzoate","Rhizobiaceae",3,9.28e-05,"Other"
1,"glucose_benzoate","Enterococcaceae",4,0.000742184,"Other"
1,"glucose_benzoate","Flavobacteriaceae",4,0.000463865,"Other"
1,"glucose_benzoate","Moraxellaceae",4,0.000742184,"Other"
1,"glucose_benzoate","Xanthomonadaceae",4,9.28e-05,"Other"
1,"glucose_cellobiose","Moraxellaceae",1,0.000463865,"Other"
1,"glucose_cellobiose","Oxalobacteraceae",1,0.000185546,"Other"
1,"glucose_cellobiose","Pseudomonadaceae",1,0.002319325,"Other"
1,"glucose_cellobiose","Rhizobiaceae",1,0.000185546,"Other"
1,"glucose_cellobiose","Pseudomonadaceae",2,0.000556638,"Other"
1,"glucose_cellobiose","Moraxellaceae",3,0.000649411,"Other"
1,"glucose_cellobiose","Pseudomonadaceae",3,0.001391595,"Other"
1,"glucose_cellobiose","Aeromonadaceae",4,0.000371092,"Other"
1,"glucose_cellobiose","Pseudomonadaceae",4,0.000742184,"Other"
1,"glucose_fructose","Aeromonadaceae",1,0.000278319,"Other"
1,"glucose_fructose","Pseudomonadaceae",1,0.000834957,"Other"
1,"glucose_fructose","Pseudomonadaceae",2,0.001020503,"Other"
1,"glucose_fructose","Oxalobacteraceae",3,9.28e-05,"Other"
1,"glucose_fructose","Pseudomonadaceae",3,0.000556638,"Other"
1,"glucose_fructose","Aeromonadaceae",4,0.000371092,"Other"
1,"glucose_fructose","Pseudomonadaceae",4,0.000463865,"Other"
1,"glucose_fumarate","Alcaligenaceae",1,0.000278319,"Other"
1,"glucose_fumarate","Comamonadaceae",1,0.006030244,"Other"
1,"glucose_fumarate","Moraxellaceae",1,0.00528806,"Other"
1,"glucose_fumarate","Paenibacillaceae",1,0.002597644,"Other"
1,"glucose_fumarate","Xanthomonadaceae",1,0.003896466,"Other"
1,"glucose_fumarate","Alcaligenaceae",2,0.000278319,"Other"
1,"glucose_fumarate","Brucellaceae",2,0.000185546,"Other"
1,"glucose_fumarate","Comamonadaceae",2,0.008813434,"Other"
1,"glucose_fumarate","Enterococcaceae",2,0.001762687,"Other"
1,"glucose_fumarate","Paenibacillaceae",2,0.002041006,"Other"
1,"glucose_fumarate","Rhizobiaceae",2,0.0034326,"Other"
1,"glucose_fumarate","Xanthomonadaceae",2,0.00621579,"Other"
1,"glucose_fumarate","Aeromonadaceae",3,0.000185546,"Other"
1,"glucose_fumarate","Brucellaceae",3,0.000278319,"Other"
1,"glucose_fumarate","Comamonadaceae",3,0.006030244,"Other"
1,"glucose_fumarate","Enterococcaceae",3,0.007978477,"Other"
1,"glucose_fumarate","Oxalobacteraceae",3,0.003896465,"Other"
1,"glucose_fumarate","Paenibacillaceae",3,0.001113276,"Other"
1,"glucose_fumarate","Rhizobiaceae",3,0.000927757,"Other"
1,"glucose_fumarate","Xanthomonadaceae",3,0.006401336,"Other"
1,"glucose_fumarate","Enterococcaceae",4,0.00621579,"Other"
1,"glucose_fumarate","Lachnospiraceae",4,0.001206049,"Other"
1,"glucose_fumarate","Oxalobacteraceae",4,0.00185546,"Other"
1,"glucose_fumarate","Paenibacillaceae",4,0.002968736,"Other"
1,"glucose_fumarate","Rhizobiaceae",4,0.007050747,"Other"
1,"glucose_fumarate","Xanthomonadaceae",4,0.009370071,"Other"
1,"glucose_glutamine","Alcaligenaceae",1,9.28e-05,"Other"
1,"glucose_glutamine","Brucellaceae",1,0.001669914,"Other"
1,"glucose_glutamine","Comamonadaceae",1,9.28e-05,"Other"
1,"glucose_glutamine","Enterococcaceae",1,0.004731422,"Other"
1,"glucose_glutamine","Moraxellaceae",1,9.28e-05,"Other"
1,"glucose_glutamine","Brucellaceae",2,0.001206049,"Other"
1,"glucose_glutamine","Enterococcaceae",2,0.005473606,"Other"
1,"glucose_glutamine","Moraxellaceae",2,0.000834957,"Other"
1,"glucose_glutamine","Rhizobiaceae",2,0.000742184,"Other"
1,"glucose_glutamine","Alcaligenaceae",3,0.00185546,"Other"
1,"glucose_glutamine","Enterococcaceae",3,0.002226552,"Other"
1,"glucose_glutamine","Moraxellaceae",3,0.000371092,"Other"
1,"glucose_glutamine","Paenibacillaceae",3,0.001669914,"Other"
1,"glucose_glutamine","Rhizobiaceae",3,0.000556638,"Other"
1,"glucose_glutamine","Alcaligenaceae",4,0.008256796,"Other"
1,"glucose_glutamine","Moraxellaceae",4,0.001762687,"Other"
1,"glucose_glutamine","Rhizobiaceae",4,0.001206049,"Other"
1,"glucose_glutamine","Xanthomonadaceae",4,0.006586883,"Other"
1,"glucose_glycerol","Pseudomonadaceae",1,0.007050747,"Other"
1,"glucose_glycerol","Aeromonadaceae",2,0.001206049,"Other"
