"Inoculum","Family","CS_duo","CS_type_duo","CS1","CS2","ab_obs_mean","ab_obs_se","ab_pred_mean","ab_pred_se","cs.ord"
1,"Rhizobiaceae","succinate_benzoate","AA","succinate","benzoate",0.0005102515,0.000171483723884853,0.137079870625,0.0204078196610232,"benzoate"
1,"Rhizobiaceae","succinate_cellobiose","SA","succinate","cellobiose",0.000556638,0.00018937209325602,0.096781839625,0.014625575572552,"cellobiose"
1,"Rhizobiaceae","succinate_fructose","SA","succinate","fructose",0.00067260425,0.000381339163016855,0.095447839,0.0144122803511389,"fructose"
1,"Rhizobiaceae","succinate_fumarate","AA","succinate","fumarate",0.0144262065,0.00976062553623444,0.0824882220625,0.0119617459650951,"fumarate"
1,"Rhizobiaceae","succinate_glutamine","AA","succinate","glutamine",0.33059653025,0.0191193957350463,0.14788091975,0.0159451600374962,"glutamine"
1,"Rhizobiaceae","succinate_glycerol","SA","succinate","glycerol",0.00044067175,0.000166711988233388,0.108546038375,0.0163228211285272,"glycerol"
1,"Rhizobiaceae","succinate_glycine","AA","succinate","glycine",0.128490583666667,0.0654654807498548,0.142565970833333,0.0203706620545604,"glycine"
1,"Rhizobiaceae","succinate_ribose","SA","succinate","ribose",0.00037109875,0.000119764199541137,0.1158523860625,0.0165153669746278,"ribose"
2,"Enterobacteriaceae","glucose_benzoate","SA","glucose","benzoate",0.43747100875,0.0200647720019484,0.647151160625,0.0212567893860659,"benzoate"
2,"Enterobacteriaceae","glucose_cellobiose","SS","glucose","cellobiose",0.996149922,0.00159275308355882,0.985751319125,0.00287596893333404,"cellobiose"
2,"Enterobacteriaceae","glucose_fructose","SS","glucose","fructose",0.91228314375,0.0810688015929674,0.9967977303125,0.000479901672991584,"fructose"
2,"Enterobacteriaceae","glucose_fumarate","SA","glucose","fumarate",0.50002319275,0.041550308128019,0.4647996473125,0.00896977850932003,"fumarate"
2,"Enterobacteriaceae","glucose_glutamine","SA","glucose","glutamine",0.95530662175,0.00917283695556841,0.476380950375,0.00460045975114494,"glutamine"
2,"Enterobacteriaceae","glucose_glycerol","SS","glucose","glycerol",0.9907922815,0.00229206692897835,0.9980252056875,0.000377848849775352,"glycerol"
2,"Enterobacteriaceae","glucose_glycine","SA","glucose","glycine",0.985187247,0.000620801966347553,0.553669633916667,0.00608656975213212,"glycine"
2,"Enterobacteriaceae","glucose_ribose","SS","glucose","ribose",0.9903516105,0.00473005764940515,0.9968145316875,0.000372667877012514,"ribose"
2,"Enterobacteriaceae","succinate_benzoate","AA","succinate","benzoate",0.03288802325,0.00391821737557728,0.0352492101875,0.0056370747419911,"benzoate"
2,"Enterobacteriaceae","succinate_cellobiose","SA","succinate","cellobiose",0.92302161675,0.0201969851785542,0.5175327740625,0.015618317918585,"cellobiose"
2,"Enterobacteriaceae","succinate_fructose","SA","succinate","fructose",0.86554875275,0.0147986904656026,0.529968287875,0.0155422822235551,"fructose"
2,"Enterobacteriaceae","succinate_fumarate","AA","succinate","fumarate",0.04172464975,0.0064813261934315,0.098106256625,0.00638612056694095,"fumarate"
2,"Enterobacteriaceae","succinate_glutamine","AA","succinate","glutamine",0.106062715,0.0109973084159253,0.0314315170625,0.00457134934286215,"glutamine"
2,"Enterobacteriaceae","succinate_glycerol","SA","succinate","glycerol",0.9750208735,0.00951555522574153,0.4963406136875,0.0152980245804395,"glycerol"
2,"Enterobacteriaceae","succinate_glycine","AA","succinate","glycine",0.091814331,0.0216224311367499,0.0355233510833333,0.00577635464575664,"glycine"
2,"Enterobacteriaceae","succinate_ribose","SA","succinate","ribose",0.87396790125,0.00593620220015666,0.52257631975,0.0151688615031433,"ribose"
2,"Moraxellaceae","glucose_benzoate","SA","glucose","benzoate",0.0048473885,0.00124719871922063,0.0592859736875,0.019856508053657,"benzoate"
2,"Moraxellaceae","glucose_cellobiose","SS","glucose","cellobiose",0.00037109875,0.000119764199541137,0.00197425875,0.000239990673432367,"cellobiose"
2,"Moraxellaceae","glucose_fructose","SS","glucose","fructose",0.00132201525,0.000201750170543247,0.001648422625,0.000239984610384376,"fructose"
2,"Moraxellaceae","glucose_fumarate","SA","glucose","fumarate",0.2520410055,0.00720981746228927,0.0477959981875,0.00749535813048343,"fumarate"
2,"Moraxellaceae","glucose_glutamine","SA","glucose","glutamine",0.010761666,0.00448408094911665,0.25667870075,0.00430208176136755,"glutamine"
2,"Moraxellaceae","glucose_glycerol","SS","glucose","glycerol",0.00357176,0.000935045461733902,0.00114401325,0.000229076065748412,"glycerol"
2,"Moraxellaceae","glucose_glycine","SA","glucose","glycine",0.002504871,0.000983277097477783,0.001671011,0.000293928451654764,"glycine"
2,"Moraxellaceae","glucose_ribose","SS","glucose","ribose",0.002342518,0.000983550347641729,0.0016933705,0.000219398116602008,"ribose"
2,"Moraxellaceae","succinate_benzoate","AA","succinate","benzoate",0.02096669475,0.016187711803702,0.3115210568125,0.0202926032517977,"benzoate"
2,"Moraxellaceae","succinate_cellobiose","SA","succinate","cellobiose",0.00194823275,0.000468480438286448,0.1920000111875,0.00863706003449195,"cellobiose"
2,"Moraxellaceae","succinate_fructose","SA","succinate","fructose",0.00545041975,0.00116882114317193,0.19093218425,0.00866002332507988,"fructose"
2,"Moraxellaceae","succinate_fumarate","AA","succinate","fumarate",0.43756378825,0.136963855739088,0.2028738246875,0.00938384284567764,"fumarate"
2,"Moraxellaceae","succinate_glutamine","AA","succinate","glutamine",0.36840152175,0.0428568513824418,0.4351829943125,0.00483592591530417,"glutamine"
2,"Moraxellaceae","succinate_glycerol","SA","succinate","glycerol",0.0019250465,0.000345832944518135,0.204496242,0.00878355263273764,"glycerol"
2,"Moraxellaceae","succinate_glycine","AA","succinate","glycine",0.533908526,0.0132918145691946,0.220356482166667,0.0105814467314472,"glycine"
2,"Moraxellaceae","succinate_ribose","SA","succinate","ribose",0.005334447,0.00367469653586166,0.1939665699375,0.00858931246518516,"ribose"
2,"Pseudomonadaceae","glucose_benzoate","SA","glucose","benzoate",0.446261249,0.0430828117393455,0.2710849925625,0.0225668334977438,"benzoate"
2,"Pseudomonadaceae","glucose_cellobiose","SS","glucose","cellobiose",0.00324705475,0.00144569168188993,0.001498429075,0.000268729379661679,"cellobiose"
2,"Pseudomonadaceae","glucose_fructose","SS","glucose","fructose",0.08226644425,0.0781849921729409,0.0008716658125,0.000134267626630709,"fructose"
2,"Pseudomonadaceae","glucose_fumarate","SA","glucose","fumarate",0.221078022,0.041354175472753,0.41041885475,0.00736221899819423,"fumarate"
2,"Pseudomonadaceae","glucose_glutamine","SA","glucose","glutamine",0.0236339185,0.00519257736075696,0.103192055125,0.00974844420111569,"glutamine"
2,"Pseudomonadaceae","glucose_glycerol","SS","glucose","glycerol",0.004777809,0.00154753012796181,0.0006559569125,0.000120327524520974,"glycerol"
2,"Pseudomonadaceae","glucose_glycine","SA","glucose","glycine",0.005102515,0.00103307640646566,0.340415508166667,0.00789647606512812,"glycine"
2,"Pseudomonadaceae","glucose_ribose","SS","glucose","ribose",0.0061694175,0.00310072703135736,0.0013140554375,0.000131080317940184,"ribose"
