exp_id,Family,Treatment,Replicate,variable,Abundance,Abundance_1,Abundance_2,Predicted_Abundance,q,q2,seed,S,Epsilon,Dominates
7885,F0,SA,SA,SA,0.201616048007665,0.498650962287279,0.189812334615391,0.344231648451335,0.45,0.85,76,200,0.14261560044367,1
7885,F1,SA,SA,SA,0.798383937663152,0.501349019982889,0.810187653501391,0.655768336742141,0.45,0.85,76,200,0.142615600921011,1
7886,F0,SA,SA,SA,0.173340645004896,0.112330908987608,0.185668080771663,0.148999494879636,0.55,0.85,76,200,0.02434115012526,1
7886,F1,SA,SA,SA,0.826659338090378,0.887669065474976,0.814331895789345,0.851000480632161,0.55,0.85,76,200,0.0243411425417831,1
7887,F0,SA,SA,SA,0.394977058129717,0.631206509347788,0.214679737702855,0.422943123525321,0.65,0.85,76,200,0.027966065395604,1
7887,F1,SA,SA,SA,0.605022895032056,0.368793456995202,0.785320210221596,0.5770568336084,0.65,0.85,76,200,0.027966061423656,1
7889,F0,SA,SA,SA,0.557173743424865,0.740834539248171,0.350125304657717,0.545479921952944,0.85,0.85,76,200,-0.011693821471921,-1
7889,F1,SA,SA,SA,0.442826225188984,0.25916544945781,0.649874685155907,0.454520067306859,0.85,0.85,76,200,-0.011693842117875,-1
7891,F1,SA,SA,SA,0.999999983019685,0.99999997678127,0.999999984380569,0.99999998058092,0.05,0.95,76,200,2.43876496774931e-09,1
7892,F0,SA,SA,SA,0.136768314399649,0.362682662601343,0.0433196707923443,0.203001166696844,0.15,0.95,76,200,0.066232852297195,1
7892,F1,SA,SA,SA,0.863231672774188,0.63731731870139,0.956680306070967,0.796998812386178,0.15,0.95,76,200,0.06623286038801,1
7893,F0,SA,SA,SA,0.149709428729105,0.162952073269715,0,0.0814760366348575,0.25,0.95,76,200,-0.0682333920942475,-1
7893,F1,SA,SA,SA,0.850290558884528,0.837047909394537,0.999999991392663,0.9185239503936,0.25,0.95,76,200,-0.068233391509072,-1
7894,F0,SA,SA,SA,0.0617989492746659,0,0.0454005597429669,0.0227002798714835,0.35,0.95,76,200,0.0390986694031824,1
7894,F1,SA,SA,SA,0.938201027418378,0.99999998407926,0.954599424789049,0.977299704434155,0.35,0.95,76,200,0.0390986770157771,1
7895,F0,SA,SA,SA,0.115314298747965,0.366871727512185,0.0351714850621173,0.201021606287152,0.45,0.95,76,200,0.085707307539187,1
7895,F1,SA,SA,SA,0.884685678696239,0.633128257753504,0.964828499707593,0.798978378730549,0.45,0.95,76,200,0.08570729996569,1
7896,F0,SA,SA,SA,0.347752603443271,0.451282465541653,0.25365150461569,0.352466985078672,0.55,0.95,76,200,0.004714381635401,1
7896,F1,SA,SA,SA,0.652247390086667,0.548717508768139,0.746348479614432,0.647532994191285,0.55,0.95,76,200,0.00471439589538203,1
7897,F0,SA,SA,SA,0.42855860407297,0.606256960701595,0.242841448990423,0.42454920484601,0.65,0.95,76,200,-0.00400939922695998,-1
7897,F1,SA,SA,SA,0.571441378037397,0.393742973300882,0.757158533511805,0.575450753406344,0.65,0.95,76,200,-0.00400937536894697,-1
7898,F0,SA,SA,SA,0.456112557264535,0.613877456268425,0.281148160772516,0.447512808520471,0.75,0.95,76,200,-0.00859974874406399,-1
7898,F1,SA,SA,SA,0.543887411042623,0.386122527866152,0.718851817197116,0.552487172531635,0.75,0.95,76,200,-0.00859976148901209,-1
7900,F0,SA,SA,SA,0.452763956427445,0.636130499874158,0.276289888439064,0.456210194156611,0.95,0.95,76,200,0.00344623772916602,1
7900,F1,SA,SA,SA,0.547236012660029,0.363869480850188,0.723710095619708,0.543789788234948,0.95,0.95,76,200,0.00344622442508102,1
7901,F0,SA,SA,SA,0.576204042065689,0.807272167292776,0.876661195773503,0.841966681533139,0.05,0.05,77,200,-0.26576263946745,-1
7901,F1,SA,SA,SA,0.423795934812024,0.192727815779599,0.123338787936369,0.158033301857984,0.05,0.05,77,200,-0.26576263295404,-1
7902,F0,SA,SA,SA,0.139915926517953,0.0691666827843462,0.264615431886542,0.166891057335444,0.15,0.05,77,200,-0.026975130817491,-1
7902,F1,SA,SA,SA,0.860084057087596,0.930833308015772,0.735384562549609,0.833108935282691,0.15,0.05,77,200,-0.026975121804905,-1
7903,F0,SA,SA,SA,0.999999992037219,0.697053626332945,0.976320560676525,0.836687093504736,0.25,0.05,77,200,0.163312898532483,1
7903,F1,SA,SA,SA,0,0.302946361668586,0.0236794243357928,0.163312893002189,0.25,0.05,77,200,0.163312893002189,1
7904,F0,SA,SA,SA,0.784335923561396,0.110301889168392,0.949437204603308,0.52986954688585,0.35,0.05,77,200,0.254466376675546,1
7904,F1,SA,SA,SA,0.215664056880798,0.889698087368481,0.0505627824711651,0.470130434919823,0.35,0.05,77,200,0.254466378039025,1
7905,F0,SA,SA,SA,0.999999972675991,0.999999982187464,0.999999986769721,0.999999984478593,0.45,0.05,77,200,-1.18026020068385e-08,-1
7906,F0,SA,SA,SA,0.999999967808538,0.999999983591897,0.865193428897359,0.932596706244628,0.55,0.05,77,200,-0.06740326156391,-1
7906,F1,SA,SA,SA,0,0,0.134806560190424,0.067403280095212,0.55,0.05,77,200,-0.067403280095212,-1
7907,F0,SA,SA,SA,0.999999968514978,0.999999984243529,0.999999994545171,0.99999998939435,0.65,0.05,77,200,-2.08793720091194e-08,-1
7908,F0,SA,SA,SA,0.999999979856516,0.999999988325021,0.913068970397478,0.956534479361251,0.75,0.05,77,200,-0.043465500495265,-1
7908,F1,SA,SA,SA,0,0,0.0869310178866076,0.0434655089433038,0.75,0.05,77,200,-0.0434655089433038,-1
7910,F0,SA,SA,SA,0.999999951013298,0.999999981306063,0.999999978749935,0.999999980027999,0.95,0.05,77,200,2.90147009751607e-08,1
7911,F0,SA,SA,SA,0.884298527719067,0.502285252926598,0.963129651194656,0.732707452060628,0.05,0.15,77,200,0.151591075658439,1
7911,F1,SA,SA,SA,0.115701466013776,0.49771472677559,0.0368703280346132,0.267292527405102,0.05,0.15,77,200,0.151591061391326,1
7912,F0,SA,SA,SA,0.565299545722642,0.544043825962264,0.861242987810954,0.70264340688661,0.15,0.15,77,200,-0.137343861163968,-1
7912,F1,SA,SA,SA,0.43470044434188,0.455956165580312,0.138756988445987,0.297356577013149,0.15,0.15,77,200,-0.137343867328731,-1
